realtime_start,date,value,realtime_end
2018-11-07,2003-07-01,7731,2018-11-07
2018-11-07,2003-08-01,7914,2018-11-07
2018-11-07,2003-09-01,7909,2018-11-07
2018-11-07,2003-10-01,7984,2018-11-07
2018-11-07,2003-11-01,8030,2018-11-07
2018-11-07,2003-12-01,8127,2018-11-07
2018-11-07,2004-01-01,8104,2018-11-07
2018-11-07,2004-02-01,8080,2018-11-07
2018-11-07,2004-03-01,8117,2018-11-07
2018-11-07,2004-04-01,8218,2018-11-07
2018-11-07,2004-05-01,8241,2018-11-07
2018-11-07,2004-06-01,8297,2018-11-07
2018-11-07,2004-07-01,8337,2018-11-07
2018-11-07,2004-08-01,8335,2018-11-07
2018-11-07,2004-09-01,8422,2018-11-07
2018-11-07,2004-10-01,8494,2018-11-07
2018-11-07,2004-11-01,8479,2018-11-07
2018-11-07,2004-12-01,8513,2018-11-07
2018-11-07,2005-01-01,8555,2018-11-07
2018-11-07,2005-02-01,8765,2018-11-07
2018-11-07,2005-03-01,8784,2018-11-07
2018-11-07,2005-04-01,8820,2018-11-07
2018-11-07,2005-05-01,8775,2018-11-07
2018-11-07,2005-06-01,8828,2018-11-07
2018-11-07,2005-07-01,8877,2018-11-07
2018-11-07,2005-08-01,8868,2018-11-07
2018-11-07,2005-09-01,8955,2018-11-07
2018-11-07,2005-10-01,9047,2018-11-07
2018-11-07,2005-11-01,8965,2018-11-07
2018-11-07,2005-12-01,8889,2018-11-07
2018-11-07,2006-01-01,9395,2018-11-07
2018-11-07,2006-02-01,9101,2018-11-07
2018-11-07,2006-03-01,9185,2018-11-07
2018-11-07,2006-04-01,9165,2018-11-07
2018-11-07,2006-05-01,9132,2018-11-07
2018-11-07,2006-06-01,9130,2018-11-07
2018-11-07,2006-07-01,9126,2018-11-07
2018-11-07,2006-08-01,9124,2018-11-07
2018-11-07,2006-09-01,9158,2018-11-07
2018-11-07,2006-10-01,8953,2018-11-07
2018-11-07,2006-11-01,9158,2018-11-07
2018-11-07,2006-12-01,9478,2018-11-07
2018-11-07,2007-01-01,9229,2018-11-07
2018-11-07,2007-02-01,9123,2018-11-07
2018-11-07,2007-03-01,9026,2018-11-07
2018-11-07,2007-04-01,9008,2018-11-07
2018-11-07,2007-05-01,9090,2018-11-07
2018-11-07,2007-06-01,9023,2018-11-07
2018-11-07,2007-07-01,9088,2018-11-07
2018-11-07,2007-08-01,9274,2018-11-07
2018-11-07,2007-09-01,9174,2018-11-07
2018-11-07,2007-10-01,9293,2018-11-07
2018-11-07,2007-11-01,9562,2018-11-07
2018-11-07,2007-12-01,9368,2018-11-07
2018-11-07,2008-01-01,9175,2018-11-07
2018-11-07,2008-02-01,9196,2018-11-07
2018-11-07,2008-03-01,9171,2018-11-07
2018-11-07,2008-04-01,9286,2018-11-07
2018-11-07,2008-05-01,9530,2018-11-07
2018-11-07,2008-06-01,9305,2018-11-07
2018-11-07,2008-07-01,9329,2018-11-07
2018-11-07,2008-08-01,9201,2018-11-07
2018-11-07,2008-09-01,8814,2018-11-07
2018-11-07,2008-10-01,8732,2018-11-07
2018-11-07,2008-11-01,8737,2018-11-07
2018-11-07,2008-12-01,8351,2018-11-07
2018-11-07,2009-01-01,8884,2018-11-07
2018-11-07,2009-02-01,8844,2018-11-07
