realtime_start,date,value,realtime_end
2018-11-07,2005-01-01,12046,2018-11-07
2018-11-07,2005-02-01,13878,2018-11-07
2018-11-07,2005-03-01,15727,2018-11-07
2018-11-07,2005-04-01,15708,2018-11-07
2018-11-07,2005-05-01,15989,2018-11-07
2018-11-07,2005-06-01,15559,2018-11-07
2018-11-07,2005-07-01,15218,2018-11-07
2018-11-07,2005-08-01,16697,2018-11-07
2018-11-07,2005-09-01,14960,2018-11-07
2018-11-07,2005-10-01,16509,2018-11-07
2018-11-07,2005-11-01,18402,2018-11-07
2018-11-07,2005-12-01,30276,2018-11-07
2018-11-07,2006-01-01,12893,2018-11-07
2018-11-07,2006-02-01,14474,2018-11-07
2018-11-07,2006-03-01,16386,2018-11-07
2018-11-07,2006-04-01,16848,2018-11-07
2018-11-07,2006-05-01,17103,2018-11-07
2018-11-07,2006-06-01,16505,2018-11-07
2018-11-07,2006-07-01,16275,2018-11-07
2018-11-07,2006-08-01,17832,2018-11-07
2018-11-07,2006-09-01,16767,2018-11-07
2018-11-07,2006-10-01,17253,2018-11-07
2018-11-07,2006-11-01,19391,2018-11-07
2018-11-07,2006-12-01,31462,2018-11-07
2018-11-07,2007-01-01,13927,2018-11-07
2018-11-07,2007-02-01,15077,2018-11-07
2018-11-07,2007-03-01,18045,2018-11-07
2018-11-07,2007-04-01,17096,2018-11-07
2018-11-07,2007-05-01,18474,2018-11-07
2018-11-07,2007-06-01,17289,2018-11-07
2018-11-07,2007-07-01,16883,2018-11-07
2018-11-07,2007-08-01,18850,2018-11-07
2018-11-07,2007-09-01,16765,2018-11-07
2018-11-07,2007-10-01,17614,2018-11-07
2018-11-07,2007-11-01,20550,2018-11-07
2018-11-07,2007-12-01,30635,2018-11-07
2018-11-07,2008-01-01,14173,2018-11-07
2018-11-07,2008-02-01,15876,2018-11-07
2018-11-07,2008-03-01,17770,2018-11-07
2018-11-07,2008-04-01,17103,2018-11-07
2018-11-07,2008-05-01,19084,2018-11-07
2018-11-07,2008-06-01,17007,2018-11-07
2018-11-07,2008-07-01,17369,2018-11-07
2018-11-07,2008-08-01,19041,2018-11-07
2018-11-07,2008-09-01,15882,2018-11-07
2018-11-07,2008-10-01,16796,2018-11-07
2018-11-07,2008-11-01,18756,2018-11-07
2018-11-07,2008-12-01,26726,2018-11-07
2018-11-07,2009-01-01,13387,2018-11-07
2018-11-07,2009-02-01,14684,2018-11-07
2018-11-07,2009-03-01,15563,2018-11-07
2018-11-07,2009-04-01,16337,2018-11-07
2018-11-07,2009-05-01,17264,2018-11-07
2018-11-07,2009-06-01,15434,2018-11-07
2018-11-07,2009-07-01,16007,2018-11-07
2018-11-07,2009-08-01,17656,2018-11-07
2018-11-07,2009-09-01,15630,2018-11-07
2018-11-07,2009-10-01,17053,2018-11-07
2018-11-07,2009-11-01,18332,2018-11-07
2018-11-07,2009-12-01,27128,2018-11-07
2018-11-07,2010-01-01,13216,2018-11-07
2018-11-07,2010-02-01,14816,2018-11-07
2018-11-07,2010-03-01,17390,2018-11-07
2018-11-07,2010-04-01,17042,2018-11-07
2018-11-07,2010-05-01,17727,2018-11-07
2018-11-07,2010-06-01,16138,2018-11-07
2018-11-07,2010-07-01,16842,2018-11-07
2018-11-07,2010-08-01,17923,2018-11-07
2018-11-07,2010-09-01,16232,2018-11-07
2018-11-07,2010-10-01,17412,2018-11-07
2018-11-07,2010-11-01,20003,2018-11-07
2018-11-07,2010-12-01,28545,2018-11-07
2018-11-07,2011-01-01,13703,2018-11-07
2018-11-07,2011-02-01,15931,2018-11-07
2018-11-07,2011-03-01,18252,2018-11-07
2018-11-07,2011-04-01,18647,2018-11-07
2018-11-07,2011-05-01,18771,2018-11-07
2018-11-07,2011-06-01,17783,2018-11-07
2018-11-07,2011-07-01,17937,2018-11-07
2018-11-07,2011-08-01,19263,2018-11-07
2018-11-07,2011-09-01,17999,2018-11-07
2018-11-07,2011-10-01,18255,2018-11-07
2018-11-07,2011-11-01,20957,2018-11-07
2018-11-07,2011-12-01,31108,2018-11-07
2018-11-07,2012-01-01,14358,2018-11-07
2018-11-07,2012-02-01,17931,2018-11-07
2018-11-07,2012-03-01,20162,2018-11-07
2018-11-07,2012-04-01,18601,2018-11-07
2018-11-07,2012-05-01,19952,2018-11-07
2018-11-07,2012-06-01,18717,2018-11-07
2018-11-07,2012-07-01,18266,2018-11-07
2018-11-07,2012-08-01,20750,2018-11-07
2018-11-07,2012-09-01,18391,2018-11-07
2018-11-07,2012-10-01,18845,2018-11-07
2018-11-07,2012-11-01,22016,2018-11-07
2018-11-07,2012-12-01,31504,2018-11-07
2018-11-07,2013-01-01,15155,2018-11-07
2018-11-07,2013-02-01,17382,2018-11-07
2018-11-07,2013-03-01,20575,2018-11-07
2018-11-07,2013-04-01,19176,2018-11-07
2018-11-07,2013-05-01,20780,2018-11-07
2018-11-07,2013-06-01,18939,2018-11-07
2018-11-07,2013-07-01,19176,2018-11-07
2018-11-07,2013-08-01,21558,2018-11-07
2018-11-07,2013-09-01,18111,2018-11-07
2018-11-07,2013-10-01,19855,2018-11-07
2018-11-07,2013-11-01,22437,2018-11-07
2018-11-07,2013-12-01,31578,2018-11-07
2018-11-07,2014-01-01,15179,2018-11-07
2018-11-07,2014-02-01,17507,2018-11-07
2018-11-07,2014-03-01,20070,2018-11-07
2018-11-07,2014-04-01,20322,2018-11-07
2018-11-07,2014-05-01,21568,2018-11-07
2018-11-07,2014-06-01,18947,2018-11-07
2018-11-07,2014-07-01,19828,2018-11-07
2018-11-07,2014-08-01,21993,2018-11-07
2018-11-07,2014-09-01,18646,2018-11-07
2018-11-07,2014-10-01,20220,2018-11-07
2018-11-07,2014-11-01,23491,2018-11-07
2018-11-07,2014-12-01,32638,2018-11-07
2018-11-07,2015-01-01,15764,2018-11-07
2018-11-07,2015-02-01,17980,2018-11-07
2018-11-07,2015-03-01,20752,2018-11-07
2018-11-07,2015-04-01,20389,2018-11-07
2018-11-07,2015-05-01,22145,2018-11-07
2018-11-07,2015-06-01,19667,2018-11-07
2018-11-07,2015-07-01,20564,2018-11-07
2018-11-07,2015-08-01,22314,2018-11-07
2018-11-07,2015-09-01,19151,2018-11-07
2018-11-07,2015-10-01,20637,2018-11-07
2018-11-07,2015-11-01,23090,2018-11-07
2018-11-07,2015-12-01,33345,2018-11-07
2018-11-07,2016-01-01,15672,2018-11-07
2018-11-07,2016-02-01,18870,2018-11-07
2018-11-07,2016-03-01,21445,2018-11-07
2018-11-07,2016-04-01,20409,2018-11-07
2018-11-07,2016-05-01,21583,2018-11-07
2018-11-07,2016-06-01,20103,2018-11-07
2018-11-07,2016-07-01,20614,2018-11-07
2018-11-07,2016-08-01,22371,2018-11-07
2018-11-07,2016-09-01,19779,2018-11-07
2018-11-07,2016-10-01,20521,2018-11-07
2018-11-07,2016-11-01,23668,2018-11-07
2018-11-07,2016-12-01,34582,2018-11-07
2018-11-07,2017-01-01,15817,2018-11-07
2018-11-07,2017-02-01,17933,2018-11-07
2018-11-07,2017-03-01,21198,2018-11-07
2018-11-07,2017-04-01,21092,2018-11-07
2018-11-07,2017-05-01,21870,2018-11-07
2018-11-07,2017-06-01,20568,2018-11-07
2018-11-07,2017-07-01,20786,2018-11-07
2018-11-07,2017-08-01,22832,2018-11-07
2018-11-07,2017-09-01,20038,2018-11-07
2018-11-07,2017-10-01,20653,2018-11-07
2018-11-07,2017-11-01,24828,2018-11-07
2018-11-07,2017-12-01,34399,2018-11-07
2018-11-07,2018-01-01,16143,2018-11-07
2018-11-07,2018-02-01,18908,2018-11-07
2018-11-07,2018-03-01,22699,2018-11-07
2018-11-07,2018-04-01,20988,2018-11-07
2018-11-07,2018-05-01,24144,2018-11-07
2018-11-07,2018-06-01,21887,2018-11-07
2018-11-07,2018-07-01,22193,2018-11-07
2018-11-07,2018-08-01,23632,2018-11-07
2018-11-07,2018-09-01,20660,2018-11-07
