realtime_start,date,value,realtime_end
2018-11-07,2003-01-01,17807,2018-11-07
2018-11-07,2003-02-01,17670,2018-11-07
2018-11-07,2003-03-01,17763,2018-11-07
2018-11-07,2003-04-01,17687,2018-11-07
2018-11-07,2003-05-01,17838,2018-11-07
2018-11-07,2003-06-01,17912,2018-11-07
2018-11-07,2003-07-01,18140,2018-11-07
2018-11-07,2003-08-01,18207,2018-11-07
2018-11-07,2003-09-01,18157,2018-11-07
2018-11-07,2003-10-01,17889,2018-11-07
2018-11-07,2003-11-01,17810,2018-11-07
2018-11-07,2003-12-01,17791,2018-11-07
2018-11-07,2004-01-01,17800,2018-11-07
2018-11-07,2004-02-01,17871,2018-11-07
2018-11-07,2004-03-01,18165,2018-11-07
2018-11-07,2004-04-01,17752,2018-11-07
2018-11-07,2004-05-01,17921,2018-11-07
2018-11-07,2004-06-01,17695,2018-11-07
2018-11-07,2004-07-01,17888,2018-11-07
2018-11-07,2004-08-01,17896,2018-11-07
2018-11-07,2004-09-01,17943,2018-11-07
2018-11-07,2004-10-01,18016,2018-11-07
2018-11-07,2004-11-01,17942,2018-11-07
2018-11-07,2004-12-01,18137,2018-11-07
2018-11-07,2005-01-01,18034,2018-11-07
2018-11-07,2005-02-01,18173,2018-11-07
2018-11-07,2005-03-01,17818,2018-11-07
2018-11-07,2005-04-01,18153,2018-11-07
2018-11-07,2005-05-01,17808,2018-11-07
2018-11-07,2005-06-01,18263,2018-11-07
2018-11-07,2005-07-01,17858,2018-11-07
2018-11-07,2005-08-01,17822,2018-11-07
2018-11-07,2005-09-01,17557,2018-11-07
2018-11-07,2005-10-01,18070,2018-11-07
2018-11-07,2005-11-01,18048,2018-11-07
2018-11-07,2005-12-01,17765,2018-11-07
2018-11-07,2006-01-01,18107,2018-11-07
2018-11-07,2006-02-01,17981,2018-11-07
2018-11-07,2006-03-01,17888,2018-11-07
2018-11-07,2006-04-01,17932,2018-11-07
2018-11-07,2006-05-01,17757,2018-11-07
2018-11-07,2006-06-01,17847,2018-11-07
2018-11-07,2006-07-01,17584,2018-11-07
2018-11-07,2006-08-01,17490,2018-11-07
2018-11-07,2006-09-01,17826,2018-11-07
2018-11-07,2006-10-01,17657,2018-11-07
2018-11-07,2006-11-01,17609,2018-11-07
2018-11-07,2006-12-01,17713,2018-11-07
2018-11-07,2007-01-01,18064,2018-11-07
2018-11-07,2007-02-01,17586,2018-11-07
2018-11-07,2007-03-01,17798,2018-11-07
2018-11-07,2007-04-01,17480,2018-11-07
2018-11-07,2007-05-01,17521,2018-11-07
2018-11-07,2007-06-01,17328,2018-11-07
2018-11-07,2007-07-01,17559,2018-11-07
2018-11-07,2007-08-01,17527,2018-11-07
2018-11-07,2007-09-01,17260,2018-11-07
2018-11-07,2007-10-01,17292,2018-11-07
2018-11-07,2007-11-01,17346,2018-11-07
2018-11-07,2007-12-01,17199,2018-11-07
2018-11-07,2008-01-01,16813,2018-11-07
2018-11-07,2008-02-01,16822,2018-11-07
2018-11-07,2008-03-01,16697,2018-11-07
2018-11-07,2008-04-01,16708,2018-11-07
2018-11-07,2008-05-01,16916,2018-11-07
2018-11-07,2008-06-01,17059,2018-11-07
2018-11-07,2008-07-01,16779,2018-11-07
2018-11-07,2008-08-01,16645,2018-11-07
2018-11-07,2008-09-01,16079,2018-11-07
2018-11-07,2008-10-01,16016,2018-11-07
2018-11-07,2008-11-01,16329,2018-11-07
2018-11-07,2008-12-01,15839,2018-11-07
2018-11-07,2009-01-01,15861,2018-11-07
2018-11-07,2009-02-01,15627,2018-11-07
2018-11-07,2009-03-01,15532,2018-11-07
2018-11-07,2009-04-01,15638,2018-11-07
2018-11-07,2009-05-01,15727,2018-11-07
2018-11-07,2009-06-01,15427,2018-11-07
2018-11-07,2009-07-01,15493,2018-11-07
2018-11-07,2009-08-01,15539,2018-11-07
2018-11-07,2009-09-01,15493,2018-11-07
2018-11-07,2009-10-01,15620,2018-11-07
2018-11-07,2009-11-01,15482,2018-11-07
2018-11-07,2009-12-01,15459,2018-11-07
2018-11-07,2010-01-01,15578,2018-11-07
2018-11-07,2010-02-01,15483,2018-11-07
2018-11-07,2010-03-01,15757,2018-11-07
2018-11-07,2010-04-01,15547,2018-11-07
2018-11-07,2010-05-01,15366,2018-11-07
2018-11-07,2010-06-01,15361,2018-11-07
2018-11-07,2010-07-01,15227,2018-11-07
2018-11-07,2010-08-01,15236,2018-11-07
2018-11-07,2010-09-01,15193,2018-11-07
2018-11-07,2010-10-01,15151,2018-11-07
2018-11-07,2010-11-01,15698,2018-11-07
2018-11-07,2010-12-01,15320,2018-11-07
2018-11-07,2011-01-01,15248,2018-11-07
2018-11-07,2011-02-01,15452,2018-11-07
2018-11-07,2011-03-01,15319,2018-11-07
2018-11-07,2011-04-01,15603,2018-11-07
2018-11-07,2011-05-01,15272,2018-11-07
2018-11-07,2011-06-01,15585,2018-11-07
2018-11-07,2011-07-01,15246,2018-11-07
2018-11-07,2011-08-01,15098,2018-11-07
2018-11-07,2011-09-01,15297,2018-11-07
2018-11-07,2011-10-01,15128,2018-11-07
2018-11-07,2011-11-01,15151,2018-11-07
2018-11-07,2011-12-01,15132,2018-11-07
2018-11-07,2012-01-01,15037,2018-11-07
2018-11-07,2012-02-01,15192,2018-11-07
2018-11-07,2012-03-01,15213,2018-11-07
2018-11-07,2012-04-01,14848,2018-11-07
2018-11-07,2012-05-01,14670,2018-11-07
2018-11-07,2012-06-01,14756,2018-11-07
2018-11-07,2012-07-01,14802,2018-11-07
2018-11-07,2012-08-01,14771,2018-11-07
2018-11-07,2012-09-01,14663,2018-11-07
2018-11-07,2012-10-01,14560,2018-11-07
2018-11-07,2012-11-01,14462,2018-11-07
2018-11-07,2012-12-01,14442,2018-11-07
2018-11-07,2013-01-01,14769,2018-11-07
2018-11-07,2013-02-01,14496,2018-11-07
2018-11-07,2013-03-01,14333,2018-11-07
2018-11-07,2013-04-01,14239,2018-11-07
2018-11-07,2013-05-01,14295,2018-11-07
2018-11-07,2013-06-01,14145,2018-11-07
2018-11-07,2013-07-01,14090,2018-11-07
2018-11-07,2013-08-01,14059,2018-11-07
2018-11-07,2013-09-01,14124,2018-11-07
2018-11-07,2013-10-01,14239,2018-11-07
2018-11-07,2013-11-01,14074,2018-11-07
2018-11-07,2013-12-01,13924,2018-11-07
2018-11-07,2014-01-01,13694,2018-11-07
2018-11-07,2014-02-01,14069,2018-11-07
2018-11-07,2014-03-01,14030,2018-11-07
2018-11-07,2014-04-01,14348,2018-11-07
2018-11-07,2014-05-01,14142,2018-11-07
2018-11-07,2014-06-01,13983,2018-11-07
2018-11-07,2014-07-01,14084,2018-11-07
2018-11-07,2014-08-01,14081,2018-11-07
2018-11-07,2014-09-01,13890,2018-11-07
2018-11-07,2014-10-01,13898,2018-11-07
2018-11-07,2014-11-01,13930,2018-11-07
2018-11-07,2014-12-01,13933,2018-11-07
2018-11-07,2015-01-01,13907,2018-11-07
2018-11-07,2015-02-01,13686,2018-11-07
2018-11-07,2015-03-01,14043,2018-11-07
2018-11-07,2015-04-01,13430,2018-11-07
2018-11-07,2015-05-01,13792,2018-11-07
2018-11-07,2015-06-01,13670,2018-11-07
2018-11-07,2015-07-01,13638,2018-11-07
2018-11-07,2015-08-01,13574,2018-11-07
2018-11-07,2015-09-01,13610,2018-11-07
2018-11-07,2015-10-01,13578,2018-11-07
2018-11-07,2015-11-01,13618,2018-11-07
2018-11-07,2015-12-01,13637,2018-11-07
2018-11-07,2016-01-01,13038,2018-11-07
2018-11-07,2016-02-01,13018,2018-11-07
2018-11-07,2016-03-01,13114,2018-11-07
2018-11-07,2016-04-01,12828,2018-11-07
2018-11-07,2016-05-01,12699,2018-11-07
2018-11-07,2016-06-01,12890,2018-11-07
2018-11-07,2016-07-01,12702,2018-11-07
2018-11-07,2016-08-01,12655,2018-11-07
2018-11-07,2016-09-01,12557,2018-11-07
2018-11-07,2016-10-01,12432,2018-11-07
2018-11-07,2016-11-01,12325,2018-11-07
2018-11-07,2016-12-01,12465,2018-11-07
2018-11-07,2017-01-01,12654,2018-11-07
2018-11-07,2017-02-01,12450,2018-11-07
2018-11-07,2017-03-01,12524,2018-11-07
2018-11-07,2017-04-01,12594,2018-11-07
2018-11-07,2017-05-01,12447,2018-11-07
2018-11-07,2017-06-01,12479,2018-11-07
2018-11-07,2017-07-01,12523,2018-11-07
2018-11-07,2017-08-01,12538,2018-11-07
2018-11-07,2017-09-01,12554,2018-11-07
2018-11-07,2017-10-01,12556,2018-11-07
2018-11-07,2017-11-01,12542,2018-11-07
2018-11-07,2017-12-01,12504,2018-11-07
2018-11-07,2018-01-01,12442,2018-11-07
2018-11-07,2018-02-01,12418,2018-11-07
2018-11-07,2018-03-01,12435,2018-11-07
2018-11-07,2018-04-01,12497,2018-11-07
2018-11-07,2018-05-01,12685,2018-11-07
2018-11-07,2018-06-01,12412,2018-11-07
2018-11-07,2018-07-01,12567,2018-11-07
2018-11-07,2018-08-01,12454,2018-11-07
2018-11-07,2018-09-01,12360,2018-11-07
