realtime_start,date,value,realtime_end
2018-11-07,2003-01-01,69673,2018-11-07
2018-11-07,2003-02-01,66535,2018-11-07
2018-11-07,2003-03-01,68628,2018-11-07
2018-11-07,2003-04-01,69580,2018-11-07
2018-11-07,2003-05-01,69660,2018-11-07
2018-11-07,2003-06-01,70325,2018-11-07
2018-11-07,2003-07-01,71049,2018-11-07
2018-11-07,2003-08-01,72919,2018-11-07
2018-11-07,2003-09-01,71184,2018-11-07
2018-11-07,2003-10-01,69817,2018-11-07
2018-11-07,2003-11-01,71738,2018-11-07
2018-11-07,2003-12-01,70103,2018-11-07
2018-11-07,2004-01-01,69270,2018-11-07
2018-11-07,2004-02-01,71093,2018-11-07
2018-11-07,2004-03-01,72137,2018-11-07
2018-11-07,2004-04-01,69960,2018-11-07
2018-11-07,2004-05-01,72821,2018-11-07
2018-11-07,2004-06-01,68991,2018-11-07
2018-11-07,2004-07-01,71238,2018-11-07
2018-11-07,2004-08-01,71365,2018-11-07
2018-11-07,2004-09-01,74729,2018-11-07
2018-11-07,2004-10-01,73858,2018-11-07
2018-11-07,2004-11-01,73407,2018-11-07
2018-11-07,2004-12-01,75387,2018-11-07
2018-11-07,2005-01-01,72083,2018-11-07
2018-11-07,2005-02-01,73773,2018-11-07
2018-11-07,2005-03-01,74147,2018-11-07
2018-11-07,2005-04-01,73649,2018-11-07
2018-11-07,2005-05-01,73225,2018-11-07
2018-11-07,2005-06-01,79639,2018-11-07
2018-11-07,2005-07-01,81605,2018-11-07
2018-11-07,2005-08-01,73787,2018-11-07
2018-11-07,2005-09-01,70627,2018-11-07
2018-11-07,2005-10-01,67853,2018-11-07
2018-11-07,2005-11-01,73211,2018-11-07
2018-11-07,2005-12-01,73332,2018-11-07
2018-11-07,2006-01-01,76757,2018-11-07
2018-11-07,2006-02-01,74108,2018-11-07
2018-11-07,2006-03-01,74609,2018-11-07
2018-11-07,2006-04-01,74898,2018-11-07
2018-11-07,2006-05-01,74081,2018-11-07
2018-11-07,2006-06-01,75369,2018-11-07
2018-11-07,2006-07-01,75964,2018-11-07
2018-11-07,2006-08-01,75187,2018-11-07
2018-11-07,2006-09-01,74579,2018-11-07
2018-11-07,2006-10-01,75447,2018-11-07
2018-11-07,2006-11-01,76064,2018-11-07
2018-11-07,2006-12-01,75438,2018-11-07
2018-11-07,2007-01-01,75399,2018-11-07
2018-11-07,2007-02-01,75841,2018-11-07
2018-11-07,2007-03-01,75472,2018-11-07
2018-11-07,2007-04-01,76205,2018-11-07
2018-11-07,2007-05-01,77186,2018-11-07
2018-11-07,2007-06-01,74794,2018-11-07
2018-11-07,2007-07-01,74932,2018-11-07
2018-11-07,2007-08-01,76549,2018-11-07
2018-11-07,2007-09-01,77176,2018-11-07
2018-11-07,2007-10-01,77617,2018-11-07
2018-11-07,2007-11-01,75921,2018-11-07
2018-11-07,2007-12-01,73345,2018-11-07
2018-11-07,2008-01-01,73834,2018-11-07
2018-11-07,2008-02-01,72206,2018-11-07
2018-11-07,2008-03-01,71774,2018-11-07
2018-11-07,2008-04-01,70052,2018-11-07
2018-11-07,2008-05-01,69143,2018-11-07
2018-11-07,2008-06-01,67161,2018-11-07
2018-11-07,2008-07-01,64397,2018-11-07
2018-11-07,2008-08-01,64985,2018-11-07
2018-11-07,2008-09-01,62549,2018-11-07
2018-11-07,2008-10-01,56599,2018-11-07
2018-11-07,2008-11-01,54984,2018-11-07
2018-11-07,2008-12-01,54123,2018-11-07
2018-11-07,2009-01-01,55790,2018-11-07
2018-11-07,2009-02-01,54188,2018-11-07
2018-11-07,2009-03-01,53100,2018-11-07
2018-11-07,2009-04-01,53557,2018-11-07
2018-11-07,2009-05-01,54089,2018-11-07
2018-11-07,2009-06-01,56611,2018-11-07
2018-11-07,2009-07-01,57748,2018-11-07
2018-11-07,2009-08-01,62263,2018-11-07
2018-11-07,2009-09-01,53534,2018-11-07
2018-11-07,2009-10-01,56469,2018-11-07
2018-11-07,2009-11-01,57355,2018-11-07
2018-11-07,2009-12-01,57079,2018-11-07
2018-11-07,2010-01-01,56920,2018-11-07
2018-11-07,2010-02-01,55856,2018-11-07
2018-11-07,2010-03-01,60953,2018-11-07
2018-11-07,2010-04-01,61823,2018-11-07
2018-11-07,2010-05-01,61617,2018-11-07
2018-11-07,2010-06-01,61478,2018-11-07
2018-11-07,2010-07-01,62510,2018-11-07
2018-11-07,2010-08-01,62551,2018-11-07
2018-11-07,2010-09-01,63136,2018-11-07
2018-11-07,2010-10-01,64805,2018-11-07
2018-11-07,2010-11-01,65498,2018-11-07
2018-11-07,2010-12-01,65244,2018-11-07
2018-11-07,2011-01-01,66286,2018-11-07
2018-11-07,2011-02-01,67320,2018-11-07
2018-11-07,2011-03-01,67587,2018-11-07
2018-11-07,2011-04-01,66876,2018-11-07
2018-11-07,2011-05-01,65855,2018-11-07
2018-11-07,2011-06-01,66654,2018-11-07
2018-11-07,2011-07-01,66429,2018-11-07
2018-11-07,2011-08-01,65792,2018-11-07
2018-11-07,2011-09-01,68823,2018-11-07
2018-11-07,2011-10-01,69812,2018-11-07
2018-11-07,2011-11-01,70293,2018-11-07
2018-11-07,2011-12-01,71614,2018-11-07
2018-11-07,2012-01-01,71646,2018-11-07
