realtime_start,date,value,realtime_end
2018-11-07,2003-01-01,26057,2018-11-07
2018-11-07,2003-02-01,25573,2018-11-07
2018-11-07,2003-03-01,29161,2018-11-07
2018-11-07,2003-04-01,28261,2018-11-07
2018-11-07,2003-05-01,30907,2018-11-07
2018-11-07,2003-06-01,29756,2018-11-07
2018-11-07,2003-07-01,30600,2018-11-07
2018-11-07,2003-08-01,31844,2018-11-07
2018-11-07,2003-09-01,28559,2018-11-07
2018-11-07,2003-10-01,30255,2018-11-07
2018-11-07,2003-11-01,28869,2018-11-07
2018-11-07,2003-12-01,29884,2018-11-07
2018-11-07,2004-01-01,28642,2018-11-07
2018-11-07,2004-02-01,28755,2018-11-07
2018-11-07,2004-03-01,31133,2018-11-07
2018-11-07,2004-04-01,30866,2018-11-07
2018-11-07,2004-05-01,32155,2018-11-07
2018-11-07,2004-06-01,31380,2018-11-07
2018-11-07,2004-07-01,33125,2018-11-07
2018-11-07,2004-08-01,32184,2018-11-07
2018-11-07,2004-09-01,30550,2018-11-07
2018-11-07,2004-10-01,32258,2018-11-07
2018-11-07,2004-11-01,29981,2018-11-07
2018-11-07,2004-12-01,32528,2018-11-07
2018-11-07,2005-01-01,29792,2018-11-07
2018-11-07,2005-02-01,29742,2018-11-07
2018-11-07,2005-03-01,32757,2018-11-07
2018-11-07,2005-04-01,33578,2018-11-07
2018-11-07,2005-05-01,34056,2018-11-07
2018-11-07,2005-06-01,33570,2018-11-07
2018-11-07,2005-07-01,34940,2018-11-07
2018-11-07,2005-08-01,34292,2018-11-07
2018-11-07,2005-09-01,32850,2018-11-07
2018-11-07,2005-10-01,33921,2018-11-07
2018-11-07,2005-11-01,32083,2018-11-07
2018-11-07,2005-12-01,34882,2018-11-07
2018-11-07,2006-01-01,32394,2018-11-07
2018-11-07,2006-02-01,31634,2018-11-07
2018-11-07,2006-03-01,35840,2018-11-07
2018-11-07,2006-04-01,35141,2018-11-07
2018-11-07,2006-05-01,36167,2018-11-07
2018-11-07,2006-06-01,35771,2018-11-07
2018-11-07,2006-07-01,36298,2018-11-07
2018-11-07,2006-08-01,36640,2018-11-07
2018-11-07,2006-09-01,35439,2018-11-07
2018-11-07,2006-10-01,35820,2018-11-07
2018-11-07,2006-11-01,33839,2018-11-07
2018-11-07,2006-12-01,37803,2018-11-07
2018-11-07,2007-01-01,33593,2018-11-07
2018-11-07,2007-02-01,33097,2018-11-07
2018-11-07,2007-03-01,38225,2018-11-07
2018-11-07,2007-04-01,36554,2018-11-07
2018-11-07,2007-05-01,38311,2018-11-07
2018-11-07,2007-06-01,38450,2018-11-07
2018-11-07,2007-07-01,38539,2018-11-07
2018-11-07,2007-08-01,38825,2018-11-07
2018-11-07,2007-09-01,36791,2018-11-07
2018-11-07,2007-10-01,37608,2018-11-07
2018-11-07,2007-11-01,35954,2018-11-07
2018-11-07,2007-12-01,38604,2018-11-07
2018-11-07,2008-01-01,35063,2018-11-07
2018-11-07,2008-02-01,35722,2018-11-07
2018-11-07,2008-03-01,38491,2018-11-07
2018-11-07,2008-04-01,37918,2018-11-07
2018-11-07,2008-05-01,40679,2018-11-07
2018-11-07,2008-06-01,38716,2018-11-07
2018-11-07,2008-07-01,39568,2018-11-07
2018-11-07,2008-08-01,40419,2018-11-07
2018-11-07,2008-09-01,37234,2018-11-07
2018-11-07,2008-10-01,38425,2018-11-07
2018-11-07,2008-11-01,36307,2018-11-07
2018-11-07,2008-12-01,37723,2018-11-07
2018-11-07,2009-01-01,36190,2018-11-07
2018-11-07,2009-02-01,34947,2018-11-07
2018-11-07,2009-03-01,38458,2018-11-07
2018-11-07,2009-04-01,37813,2018-11-07
2018-11-07,2009-05-01,40247,2018-11-07
2018-11-07,2009-06-01,38355,2018-11-07
2018-11-07,2009-07-01,39224,2018-11-07
2018-11-07,2009-08-01,38887,2018-11-07
2018-11-07,2009-09-01,36575,2018-11-07
2018-11-07,2009-10-01,38250,2018-11-07
2018-11-07,2009-11-01,35513,2018-11-07
2018-11-07,2009-12-01,37546,2018-11-07
2018-11-07,2010-01-01,35513,2018-11-07
2018-11-07,2010-02-01,35359,2018-11-07
2018-11-07,2010-03-01,39374,2018-11-07
2018-11-07,2010-04-01,39393,2018-11-07
2018-11-07,2010-05-01,40785,2018-11-07
2018-11-07,2010-06-01,39421,2018-11-07
2018-11-07,2010-07-01,41024,2018-11-07
2018-11-07,2010-08-01,40308,2018-11-07
2018-11-07,2010-09-01,38361,2018-11-07
2018-11-07,2010-10-01,40150,2018-11-07
2018-11-07,2010-11-01,37447,2018-11-07
2018-11-07,2010-12-01,39785,2018-11-07
2018-11-07,2011-01-01,36961,2018-11-07
2018-11-07,2011-02-01,37394,2018-11-07
2018-11-07,2011-03-01,42036,2018-11-07
2018-11-07,2011-04-01,41761,2018-11-07
2018-11-07,2011-05-01,43020,2018-11-07
2018-11-07,2011-06-01,42080,2018-11-07
