realtime_start,date,value,realtime_end
2018-11-07,2001-05-01,22628,2018-11-07
2018-11-07,2001-06-01,21928,2018-11-07
2018-11-07,2001-07-01,20686,2018-11-07
2018-11-07,2001-08-01,20878,2018-11-07
2018-11-07,2001-09-01,21336,2018-11-07
2018-11-07,2001-10-01,20033,2018-11-07
2018-11-07,2001-11-01,19245,2018-11-07
2018-11-07,2001-12-01,18950,2018-11-07
2018-11-07,2002-01-01,19130,2018-11-07
2018-11-07,2002-02-01,19068,2018-11-07
2018-11-07,2002-03-01,19813,2018-11-07
2018-11-07,2002-04-01,20856,2018-11-07
2018-11-07,2002-05-01,20930,2018-11-07
2018-11-07,2002-06-01,20733,2018-11-07
2018-11-07,2002-07-01,21438,2018-11-07
2018-11-07,2002-08-01,21182,2018-11-07
2018-11-07,2002-09-01,21272,2018-11-07
2018-11-07,2002-10-01,21659,2018-11-07
2018-11-07,2002-11-01,22009,2018-11-07
2018-11-07,2002-12-01,22464,2018-11-07
2018-11-07,2003-01-01,23073,2018-11-07
2018-11-07,2003-02-01,23885,2018-11-07
2018-11-07,2003-03-01,23968,2018-11-07
2018-11-07,2003-04-01,22581,2018-11-07
2018-11-07,2003-05-01,21810,2018-11-07
2018-11-07,2003-06-01,21777,2018-11-07
2018-11-07,2003-07-01,22196,2018-11-07
2018-11-07,2003-08-01,23073,2018-11-07
2018-11-07,2003-09-01,23214,2018-11-07
2018-11-07,2003-10-01,22714,2018-11-07
2018-11-07,2003-11-01,23472,2018-11-07
2018-11-07,2003-12-01,23994,2018-11-07
2018-11-07,2004-01-01,24889,2018-11-07
2018-11-07,2004-02-01,25256,2018-11-07
2018-11-07,2004-03-01,25679,2018-11-07
2018-11-07,2004-04-01,25518,2018-11-07
2018-11-07,2004-05-01,27011,2018-11-07
2018-11-07,2004-06-01,27050,2018-11-07
2018-11-07,2004-07-01,26745,2018-11-07
2018-11-07,2004-08-01,26552,2018-11-07
2018-11-07,2004-09-01,27161,2018-11-07
2018-11-07,2004-10-01,28656,2018-11-07
2018-11-07,2004-11-01,29349,2018-11-07
2018-11-07,2004-12-01,29046,2018-11-07
2018-11-07,2005-01-01,28375,2018-11-07
