realtime_start,obs_date,revenue,realtime_end
11/7/18,8/1/04,17896,11/7/18
11/7/18,9/1/04,17943,11/7/18
11/7/18,10/1/04,18016,11/7/18
11/7/18,11/1/04,17942,11/7/18
11/7/18,12/1/04,18137,11/7/18
11/7/18,1/1/05,18034,11/7/18
11/7/18,2/1/05,18173,11/7/18
11/7/18,3/1/05,17818,11/7/18
11/7/18,4/1/05,18153,11/7/18
11/7/18,5/1/05,17808,11/7/18
11/7/18,6/1/05,18263,11/7/18
11/7/18,7/1/05,17858,11/7/18
11/7/18,8/1/05,17822,11/7/18
11/7/18,9/1/05,17557,11/7/18
11/7/18,10/1/05,18070,11/7/18
11/7/18,11/1/05,18048,11/7/18
11/7/18,12/1/05,17765,11/7/18
11/7/18,1/1/06,18107,11/7/18
11/7/18,2/1/06,17981,11/7/18
11/7/18,3/1/06,17888,11/7/18
11/7/18,4/1/06,17932,11/7/18
11/7/18,5/1/06,17757,11/7/18
11/7/18,6/1/06,17847,11/7/18
11/7/18,7/1/06,17584,11/7/18
11/7/18,8/1/06,17490,11/7/18
11/7/18,9/1/06,17826,11/7/18
11/7/18,10/1/06,17657,11/7/18
11/7/18,11/1/06,17609,11/7/18
11/7/18,12/1/06,17713,11/7/18
11/7/18,1/1/07,18064,11/7/18
11/7/18,2/1/07,17586,11/7/18
11/7/18,3/1/07,17798,11/7/18
11/7/18,4/1/07,17480,11/7/18
11/7/18,5/1/07,17521,11/7/18
11/7/18,6/1/07,17328,11/7/18
11/7/18,7/1/07,17559,11/7/18
11/7/18,8/1/07,17527,11/7/18
11/7/18,9/1/07,17260,11/7/18
11/7/18,10/1/07,17292,11/7/18
11/7/18,11/1/07,17346,11/7/18
11/7/18,12/1/07,17199,11/7/18
11/7/18,1/1/08,16813,11/7/18
11/7/18,2/1/08,16822,11/7/18
11/7/18,3/1/08,16697,11/7/18
11/7/18,4/1/08,16708,11/7/18
11/7/18,5/1/08,16916,11/7/18
11/7/18,6/1/08,17059,11/7/18
11/7/18,7/1/08,16779,11/7/18
11/7/18,8/1/08,16645,11/7/18
11/7/18,9/1/08,16079,11/7/18
11/7/18,10/1/08,16016,11/7/18
11/7/18,11/1/08,16329,11/7/18
11/7/18,12/1/08,15839,11/7/18
11/7/18,1/1/09,15861,11/7/18
11/7/18,2/1/09,15627,11/7/18
