realtime_start,obs_date,revenue,realtime_end
11/7/18,8/1/04,36680,11/7/18
11/7/18,9/1/04,36951,11/7/18
11/7/18,10/1/04,37078,11/7/18
11/7/18,11/1/04,37286,11/7/18
11/7/18,12/1/04,37423,11/7/18
11/7/18,1/1/05,37628,11/7/18
11/7/18,2/1/05,37553,11/7/18
11/7/18,3/1/05,37645,11/7/18
11/7/18,4/1/05,38049,11/7/18
11/7/18,5/1/05,37908,11/7/18
11/7/18,6/1/05,38143,11/7/18
11/7/18,7/1/05,37960,11/7/18
11/7/18,8/1/05,38320,11/7/18
11/7/18,9/1/05,38577,11/7/18
11/7/18,10/1/05,38559,11/7/18
11/7/18,11/1/05,38508,11/7/18
11/7/18,12/1/05,38847,11/7/18
11/7/18,1/1/06,38254,11/7/18
11/7/18,2/1/06,38889,11/7/18
11/7/18,3/1/06,38866,11/7/18
11/7/18,4/1/06,38891,11/7/18
11/7/18,5/1/06,39242,11/7/18
11/7/18,6/1/06,39372,11/7/18
11/7/18,7/1/06,39411,11/7/18
11/7/18,8/1/06,39705,11/7/18
11/7/18,9/1/06,39356,11/7/18
11/7/18,10/1/06,40002,11/7/18
11/7/18,11/1/06,39989,11/7/18
11/7/18,12/1/06,40153,11/7/18
11/7/18,1/1/07,40253,11/7/18
11/7/18,2/1/07,40646,11/7/18
11/7/18,3/1/07,40572,11/7/18
11/7/18,4/1/07,40416,11/7/18
11/7/18,5/1/07,40740,11/7/18
11/7/18,6/1/07,40870,11/7/18
11/7/18,7/1/07,41044,11/7/18
11/7/18,8/1/07,40954,11/7/18
11/7/18,9/1/07,41095,11/7/18
11/7/18,10/1/07,41379,11/7/18
11/7/18,11/1/07,41868,11/7/18
11/7/18,12/1/07,41998,11/7/18
11/7/18,1/1/08,42159,11/7/18
11/7/18,2/1/08,42016,11/7/18
11/7/18,3/1/08,42168,11/7/18
11/7/18,4/1/08,42584,11/7/18
11/7/18,5/1/08,42549,11/7/18
11/7/18,6/1/08,42683,11/7/18
11/7/18,7/1/08,42899,11/7/18
11/7/18,8/1/08,43063,11/7/18
11/7/18,9/1/08,42834,11/7/18
11/7/18,10/1/08,42768,11/7/18
11/7/18,11/1/08,42496,11/7/18
11/7/18,12/1/08,42136,11/7/18
11/7/18,1/1/09,42771,11/7/18
11/7/18,2/1/09,42101,11/7/18
11/7/18,3/1/09,42069,11/7/18
11/7/18,4/1/09,42288,11/7/18
11/7/18,5/1/09,42300,11/7/18
11/7/18,6/1/09,42530,11/7/18
11/7/18,7/1/09,42480,11/7/18
11/7/18,8/1/09,42401,11/7/18
11/7/18,9/1/09,42691,11/7/18
