realtime_start,obs_date,revenue,realtime_end
11/7/18,8/1/04,6192,11/7/18
11/7/18,9/1/04,6111,11/7/18
11/7/18,10/1/04,6094,11/7/18
11/7/18,11/1/04,6140,11/7/18
11/7/18,12/1/04,6122,11/7/18
11/7/18,1/1/05,6192,11/7/18
11/7/18,2/1/05,6269,11/7/18
11/7/18,3/1/05,6137,11/7/18
11/7/18,4/1/05,6318,11/7/18
11/7/18,5/1/05,6232,11/7/18
11/7/18,6/1/05,6135,11/7/18
11/7/18,7/1/05,6239,11/7/18
11/7/18,8/1/05,6274,11/7/18
11/7/18,9/1/05,6155,11/7/18
11/7/18,10/1/05,6377,11/7/18
11/7/18,11/1/05,6287,11/7/18
11/7/18,12/1/05,6462,11/7/18
11/7/18,1/1/06,6735,11/7/18
11/7/18,2/1/06,6629,11/7/18
11/7/18,3/1/06,6610,11/7/18
11/7/18,4/1/06,6580,11/7/18
11/7/18,5/1/06,6503,11/7/18
11/7/18,6/1/06,6524,11/7/18
11/7/18,7/1/06,6461,11/7/18
11/7/18,8/1/06,6412,11/7/18
11/7/18,9/1/06,6690,11/7/18
11/7/18,10/1/06,6589,11/7/18
11/7/18,11/1/06,6461,11/7/18
11/7/18,12/1/06,6566,11/7/18
11/7/18,1/1/07,6489,11/7/18
11/7/18,2/1/07,6494,11/7/18
11/7/18,3/1/07,6779,11/7/18
11/7/18,4/1/07,6640,11/7/18
11/7/18,5/1/07,6805,11/7/18
11/7/18,6/1/07,6850,11/7/18
11/7/18,7/1/07,6936,11/7/18
11/7/18,8/1/07,6780,11/7/18
11/7/18,9/1/07,6749,11/7/18
11/7/18,10/1/07,6834,11/7/18
11/7/18,11/1/07,6940,11/7/18
11/7/18,12/1/07,6756,11/7/18
11/7/18,1/1/08,6818,11/7/18
11/7/18,2/1/08,6751,11/7/18
11/7/18,3/1/08,6733,11/7/18
11/7/18,4/1/08,6809,11/7/18
11/7/18,5/1/08,6949,11/7/18
11/7/18,6/1/08,6879,11/7/18
11/7/18,7/1/08,6858,11/7/18
11/7/18,8/1/08,6931,11/7/18
11/7/18,9/1/08,6536,11/7/18
11/7/18,10/1/08,6426,11/7/18
11/7/18,11/1/08,6431,11/7/18
11/7/18,12/1/08,6470,11/7/18
11/7/18,1/1/09,6661,11/7/18
11/7/18,2/1/09,6535,11/7/18
11/7/18,3/1/09,6360,11/7/18
11/7/18,4/1/09,6514,11/7/18
11/7/18,5/1/09,6453,11/7/18
11/7/18,6/1/09,6473,11/7/18
11/7/18,7/1/09,6455,11/7/18
11/7/18,8/1/09,6628,11/7/18
11/7/18,9/1/09,6484,11/7/18
11/7/18,10/1/09,6408,11/7/18
11/7/18,11/1/09,6307,11/7/18
11/7/18,12/1/09,6523,11/7/18
11/7/18,1/1/10,6555,11/7/18
11/7/18,2/1/10,6404,11/7/18
11/7/18,3/1/10,6494,11/7/18
11/7/18,4/1/10,6445,11/7/18
11/7/18,5/1/10,6460,11/7/18
11/7/18,6/1/10,6504,11/7/18
11/7/18,7/1/10,6495,11/7/18
11/7/18,8/1/10,6532,11/7/18
11/7/18,9/1/10,6462,11/7/18
11/7/18,10/1/10,6533,11/7/18
11/7/18,11/1/10,6671,11/7/18
11/7/18,12/1/10,6584,11/7/18
11/7/18,1/1/11,6544,11/7/18
11/7/18,2/1/11,6620,11/7/18
11/7/18,3/1/11,6644,11/7/18
11/7/18,4/1/11,6637,11/7/18
11/7/18,5/1/11,6557,11/7/18
11/7/18,6/1/11,6592,11/7/18
11/7/18,7/1/11,6435,11/7/18
11/7/18,8/1/11,6655,11/7/18
11/7/18,9/1/11,6693,11/7/18
11/7/18,10/1/11,6535,11/7/18
11/7/18,11/1/11,6501,11/7/18
11/7/18,12/1/11,6327,11/7/18
11/7/18,1/1/12,6625,11/7/18
11/7/18,2/1/12,6748,11/7/18
11/7/18,3/1/12,6902,11/7/18
11/7/18,4/1/12,6859,11/7/18
11/7/18,5/1/12,6877,11/7/18
11/7/18,6/1/12,6797,11/7/18
11/7/18,7/1/12,6798,11/7/18
11/7/18,8/1/12,6692,11/7/18
11/7/18,9/1/12,6677,11/7/18
11/7/18,10/1/12,6695,11/7/18
11/7/18,11/1/12,6681,11/7/18
11/7/18,12/1/12,6790,11/7/18
11/7/18,1/1/13,7129,11/7/18
11/7/18,2/1/13,7095,11/7/18
11/7/18,3/1/13,6936,11/7/18
11/7/18,4/1/13,6812,11/7/18
11/7/18,5/1/13,6859,11/7/18
11/7/18,6/1/13,6887,11/7/18
11/7/18,7/1/13,6918,11/7/18
11/7/18,8/1/13,6753,11/7/18
11/7/18,9/1/13,6843,11/7/18
11/7/18,10/1/13,6902,11/7/18
11/7/18,11/1/13,6933,11/7/18
11/7/18,12/1/13,6871,11/7/18
11/7/18,1/1/14,6542,11/7/18
11/7/18,2/1/14,6813,11/7/18
11/7/18,3/1/14,6766,11/7/18
11/7/18,4/1/14,6900,11/7/18
11/7/18,5/1/14,6877,11/7/18
11/7/18,6/1/14,6953,11/7/18
11/7/18,7/1/14,6947,11/7/18
11/7/18,8/1/14,7206,11/7/18
11/7/18,9/1/14,7090,11/7/18
11/7/18,10/1/14,7197,11/7/18
11/7/18,11/1/14,7193,11/7/18
11/7/18,12/1/14,7086,11/7/18
11/7/18,1/1/15,6904,11/7/18
11/7/18,2/1/15,6896,11/7/18
11/7/18,3/1/15,7017,11/7/18
11/7/18,4/1/15,7047,11/7/18
11/7/18,5/1/15,7096,11/7/18
11/7/18,6/1/15,7086,11/7/18
11/7/18,7/1/15,7167,11/7/18
11/7/18,8/1/15,7229,11/7/18
11/7/18,9/1/15,7248,11/7/18
11/7/18,10/1/15,7144,11/7/18
11/7/18,11/1/15,7261,11/7/18
11/7/18,12/1/15,7433,11/7/18
11/7/18,1/1/16,7293,11/7/18
11/7/18,2/1/16,7281,11/7/18
11/7/18,3/1/16,7295,11/7/18
11/7/18,4/1/16,7236,11/7/18
11/7/18,5/1/16,7333,11/7/18
11/7/18,6/1/16,7601,11/7/18
11/7/18,7/1/16,7287,11/7/18
11/7/18,8/1/16,7040,11/7/18
11/7/18,9/1/16,7104,11/7/18
11/7/18,10/1/16,7068,11/7/18
11/7/18,11/1/16,6956,11/7/18
11/7/18,12/1/16,6996,11/7/18
11/7/18,1/1/17,7214,11/7/18
11/7/18,2/1/17,7038,11/7/18
11/7/18,3/1/17,6930,11/7/18
11/7/18,4/1/17,7006,11/7/18
11/7/18,5/1/17,6910,11/7/18
11/7/18,6/1/17,6957,11/7/18
11/7/18,7/1/17,6957,11/7/18
11/7/18,8/1/17,6913,11/7/18
11/7/18,9/1/17,6920,11/7/18
11/7/18,10/1/17,7011,11/7/18
11/7/18,11/1/17,7115,11/7/18
11/7/18,12/1/17,6739,11/7/18
11/7/18,1/1/18,6666,11/7/18
11/7/18,2/1/18,6946,11/7/18
11/7/18,3/1/18,6993,11/7/18
11/7/18,4/1/18,6951,11/7/18
11/7/18,5/1/18,6882,11/7/18
11/7/18,6/1/18,6734,11/7/18
11/7/18,7/1/18,6645,11/7/18
11/7/18,8/1/18,6611,11/7/18
11/7/18,9/1/18,6659,11/7/18
