realtime_start,obs_date,revenue,realtime_end
11/7/18,8/1/04,19178,11/7/18
11/7/18,9/1/04,19472,11/7/18
11/7/18,10/1/04,19675,11/7/18
11/7/18,11/1/04,19789,11/7/18
11/7/18,12/1/04,19942,11/7/18
11/7/18,1/1/05,20237,11/7/18
11/7/18,2/1/05,20175,11/7/18
11/7/18,3/1/05,20506,11/7/18
11/7/18,4/1/05,20741,11/7/18
11/7/18,5/1/05,20568,11/7/18
11/7/18,6/1/05,21024,11/7/18
11/7/18,7/1/05,20988,11/7/18
11/7/18,8/1/05,21767,11/7/18
11/7/18,9/1/05,21951,11/7/18
11/7/18,10/1/05,22255,11/7/18
11/7/18,11/1/05,22461,11/7/18
11/7/18,12/1/05,22827,11/7/18
11/7/18,1/1/06,22574,11/7/18
11/7/18,2/1/06,23068,11/7/18
11/7/18,3/1/06,23677,11/7/18
11/7/18,4/1/06,23305,11/7/18
11/7/18,5/1/06,23794,11/7/18
11/7/18,6/1/06,23762,11/7/18
11/7/18,7/1/06,23638,11/7/18
11/7/18,8/1/06,24225,11/7/18
11/7/18,9/1/06,24206,11/7/18
11/7/18,10/1/06,24349,11/7/18
11/7/18,11/1/06,24259,11/7/18
11/7/18,12/1/06,24206,11/7/18
11/7/18,1/1/07,24243,11/7/18
11/7/18,2/1/07,25505,11/7/18
11/7/18,3/1/07,25034,11/7/18
11/7/18,4/1/07,25303,11/7/18
11/7/18,5/1/07,25271,11/7/18
11/7/18,6/1/07,25462,11/7/18
11/7/18,7/1/07,25970,11/7/18
11/7/18,8/1/07,25826,11/7/18
11/7/18,9/1/07,26112,11/7/18
11/7/18,10/1/07,26397,11/7/18
11/7/18,11/1/07,27065,11/7/18
11/7/18,12/1/07,26268,11/7/18
11/7/18,1/1/08,26019,11/7/18
11/7/18,2/1/08,26101,11/7/18
11/7/18,3/1/08,26530,11/7/18
11/7/18,4/1/08,27243,11/7/18
11/7/18,5/1/08,27526,11/7/18
11/7/18,6/1/08,27403,11/7/18
11/7/18,7/1/08,27823,11/7/18
11/7/18,8/1/08,27374,11/7/18
11/7/18,9/1/08,27258,11/7/18
11/7/18,10/1/08,26333,11/7/18
11/7/18,11/1/08,25149,11/7/18
11/7/18,12/1/08,24751,11/7/18
11/7/18,1/1/09,25049,11/7/18
11/7/18,2/1/09,25241,11/7/18
11/7/18,3/1/09,24941,11/7/18
11/7/18,4/1/09,24932,11/7/18
11/7/18,5/1/09,25159,11/7/18
11/7/18,6/1/09,25768,11/7/18
11/7/18,7/1/09,26110,11/7/18
11/7/18,8/1/09,26150,11/7/18
11/7/18,9/1/09,26339,11/7/18
11/7/18,10/1/09,26634,11/7/18
11/7/18,11/1/09,26666,11/7/18
11/7/18,12/1/09,26984,11/7/18
11/7/18,1/1/10,27280,11/7/18
11/7/18,2/1/10,27256,11/7/18
11/7/18,3/1/10,27817,11/7/18
11/7/18,4/1/10,27745,11/7/18
11/7/18,5/1/10,27775,11/7/18
11/7/18,6/1/10,28462,11/7/18
11/7/18,7/1/10,28095,11/7/18
11/7/18,8/1/10,28774,11/7/18
11/7/18,9/1/10,28884,11/7/18
11/7/18,10/1/10,28976,11/7/18
11/7/18,11/1/10,28951,11/7/18
11/7/18,12/1/10,29672,11/7/18
11/7/18,1/1/11,30567,11/7/18
11/7/18,2/1/11,30117,11/7/18
11/7/18,3/1/11,30452,11/7/18
11/7/18,4/1/11,30737,11/7/18
11/7/18,5/1/11,30948,11/7/18
11/7/18,6/1/11,31136,11/7/18
11/7/18,7/1/11,31209,11/7/18
11/7/18,8/1/11,31632,11/7/18
11/7/18,9/1/11,31447,11/7/18
11/7/18,10/1/11,32521,11/7/18
11/7/18,11/1/11,32785,11/7/18
11/7/18,12/1/11,32538,11/7/18
11/7/18,1/1/12,32378,11/7/18
11/7/18,2/1/12,32880,11/7/18
11/7/18,3/1/12,32856,11/7/18
11/7/18,4/1/12,33173,11/7/18
